Start Date,01/01/2010,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,
,irs3m,irs6m,irs9m,irs1yr,irs2yr,irs3yr,irs4yr,irs5yr,irs7yr,irs10yr,overnight,fed,us10yr,tiie28,mxn,g1yr,g2yr,g3yr,g5yr,g10yr,g20yr,g30yr
,MPSWC BGN Curncy,MPSWF BGN Curncy,MPSWI BGN Curncy,MPSW1A BGN Curncy,MPSW2B BGN Curncy,MPSW3C BGN Curncy,MPSW4D BGN Curncy,MPSW5E BGN Curncy,MPSW7G BGN Curncy,MPSW10K BGN Curncy,MXONBR Index,FDTR Index,USGG10YR Index,MXIBTIIE Index,MXN Curncy,GMXN01YR Index,GMXN02YR Index,GMXN03YR Index,GMXN05YR Index,GMXN10YR Index,GMXN20YR Index,GMXN30YR Index
,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
#¿NOMBRE?,4.97,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?
04/01/2010,4.9710,5.0820,5.2820,5.5600,6.2690,6.7890,7.2130,7.5570,7.9640,8.3525,4.5000,0.2500,3.8155,4.9100,12.8752,5.0390,5.5120,6.4650,7.3010,8.0270,8.6370,8.8330
05/01/2010,4.9800,5.1000,5.2970,5.5700,6.2700,6.8000,7.2080,7.5440,7.9510,8.3440,4.5000,0.2500,3.7608,4.8950,12.8112,5.0450,5.5220,6.4720,7.2770,8.0040,8.6040,8.7980
06/01/2010,4.9800,5.0900,5.2800,5.5700,6.2700,6.8000,7.2000,7.5150,7.9190,8.3100,4.5000,0.2500,3.8215,4.9130,12.7370,5.0430,5.5220,6.4750,7.2770,7.9840,8.5790,8.7820
07/01/2010,4.9700,5.0875,5.2610,5.5275,6.2275,6.7850,7.1900,7.5275,7.9275,8.3175,4.5000,0.2500,3.8235,4.9250,12.7854,5.0310,5.5150,6.4270,7.2410,7.9770,8.5690,8.7730
08/01/2010,4.9500,5.0575,5.1875,5.4275,6.1360,6.6875,7.1100,7.4520,7.8500,8.2320,4.5000,0.2500,3.8297,4.9250,12.6970,4.9780,5.4600,6.3350,7.1340,7.9290,8.5250,8.7320
11/01/2010,4.9400,5.0725,5.1800,5.3900,6.1075,6.6520,7.0863,7.4210,7.8200,8.2190,4.5000,0.2500,3.8180,4.9300,12.7399,4.9310,5.4140,6.2990,7.0950,7.8780,8.5140,8.7180
12/01/2010,4.9400,5.0613,5.1790,5.3820,6.0800,6.6445,7.0550,7.3935,7.8000,8.1920,4.5000,0.2500,3.7108,4.9200,12.8176,4.9160,5.3910,6.2820,7.0820,7.8620,8.5170,8.7070
